id,price,median_price,estimate_profit,estimate_profit%,hypothesis
1238500451,130000.0,519500.0,389500.0,299.6,H5
6840700165,202000.0,800000.0,598000.0,296.0,H5
1049010620,90000.0,335000.0,245000.0,272.2,H5
5016003230,169317.0,600000.0,430683.0,254.4,H5
2870000040,145000.0,460500.0,315500.0,217.6,H5
2734100835,90000.0,277000.0,187000.0,207.8,H5
2114700500,90000.0,267000.0,177000.0,196.7,H5
7899800450,107000.0,290000.0,183000.0,171.0,H5
1221000562,187000.0,499950.0,312950.0,167.4,H5
6303401150,125000.0,330000.0,205000.0,164.0,H5
6303400981,190000.0,500000.0,310000.0,163.2,H5
7129304540,133000.0,349950.0,216950.0,163.1,H5
7129304540,440000.0,349950.0,216950.0,163.1,H5
2023049218,445000.0,275250.0,169750.0,160.9,H5
2023049218,105500.0,275250.0,169750.0,160.9,H5
123039604,102500.0,267000.0,164500.0,160.5,H5
8965450190,295000.0,768000.0,473000.0,160.3,H5
7999600180,83000.0,214975.0,131975.0,159.0,H5
1523049188,84000.0,214975.0,130975.0,155.9,H5
2422049104,85000.0,216475.0,131475.0,154.7,H5
1322049150,85000.0,216475.0,131475.0,154.7,H5
2422049104,235000.0,216475.0,131475.0,154.7,H5
7454000145,122000.0,310000.0,188000.0,154.1,H5
2354300456,130000.0,330000.0,200000.0,153.8,H5
1721801591,89950.0,225000.0,135050.0,150.1,H5
6450302546,130000.0,321000.0,191000.0,146.9,H5
3530210260,274975.0,660000.0,385025.0,140.0,H5
5111400086,110000.0,263750.0,153750.0,139.8,H5
4233400280,264950.0,630000.0,365050.0,137.8,H5
795000765,92000.0,214975.0,122975.0,133.7,H5
5061300030,134000.0,310000.0,176000.0,131.3,H5
1788900230,199950.0,199950.0,113450.0,131.2,H5
1788900230,86500.0,199950.0,113450.0,131.2,H5
425200205,165000.0,380000.0,215000.0,130.3,H5
4239400300,90000.0,206000.0,116000.0,128.9,H5
4331000265,167000.0,375000.0,208000.0,124.6,H5
324000530,201500.0,450000.0,248500.0,123.3,H5
324000530,459000.0,450000.0,248500.0,123.3,H5
5528600005,272167.0,605000.0,332833.0,122.3,H5
5147600095,152000.0,337500.0,185500.0,122.0,H5
7813200115,100000.0,221900.0,121900.0,121.9,H5
7129300595,158000.0,349950.0,191950.0,121.5,H5
7224000980,100000.0,220975.0,120975.0,121.0,H5
9368700270,137900.0,304000.0,166100.0,120.4,H5
104500730,115000.0,252000.0,137000.0,119.1,H5
9320900420,89000.0,195000.0,106000.0,119.1,H5
2853600155,110000.0,240000.0,130000.0,118.2,H5
6056100150,160797.0,349950.0,189153.0,117.6,H5
3298701025,135000.0,290000.0,155000.0,114.8,H5
818500490,153503.0,329000.0,175497.0,114.3,H5
